V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,variable,scales,labels,min,max,rev,na,wn,ka,scalenumber,nown,noka,q_text,q_cate
Sehr schlechter Zeitpunkt,Eher schlechter Zeitpunkt,Teils-teils,Eher guter Zeitpunkt,Sehr guter Zeitpunkt,Weiss nicht,NA,NA,NA,NA,NA,NA,NA,kaufen_haus,6,Haushaltsgegenstaende: Gute Zeit zu kaufen,1,5,0,7,V6,noka,4,no WN option,no KA option,"Glauben Sie, dass jetzt ein guter oder schlechter Zeitpunkt ist, um größere Haushaltsgegenstände wie Möbel, einen Kühlschrank, einen Herd, einen Fernseher und solche Dinge zu kaufen?",Finanzentscheidungen
Sehr schlechter Zeitpunkt,Eher schlechter Zeitpunkt,Teils-teils,Eher guter Zeitpunkt,Sehr guter Zeitpunkt,Weiss nicht,NA,NA,NA,NA,NA,NA,NA,zeitp_spar,6,Guter/schlechter Zeitpunkt: Geld sparen,1,5,0,7,V6,noka,4,no WN option,no KA option,"Glauben Sie, dass für Sie persönlich jetzt ein guter oder schlechter Zeitpunkt ist,	um Geld zu sparen oder auf dem Konto zu belassen?",Finanzentscheidungen
Sehr schlechter Zeitpunkt,Eher schlechter Zeitpunkt,Teils-teils,Eher guter Zeitpunkt,Sehr guter Zeitpunkt,Weiss nicht,NA,NA,NA,NA,NA,NA,NA,zeitp_inve,6,Guter/schlechter Zeitpunkt: Geld investieren,1,5,0,7,V6,noka,4,no WN option,no KA option,"Glauben Sie, dass für Sie persönlich jetzt ein guter oder schlechter Zeitpunkt ist,	um Geld zu investieren (in Aktien, Anleihen, Fonds, etc.)?",Finanzentscheidungen
Sehr schlechter Zeitpunkt,Eher schlechter Zeitpunkt,Teils-teils,Eher guter Zeitpunkt,Sehr guter Zeitpunkt,Weiss nicht,NA,NA,NA,NA,NA,NA,NA,zeitp_lieg,6,Guter/schlechter Zeitpunkt: Liegenschaft erwerben,1,5,0,7,V6,noka,4,no WN option,no KA option,"Glauben Sie, dass für Sie persönlich jetzt ein guter oder schlechter Zeitpunkt ist,	um Liegenschaften zu erwerben (Wohnungen, Häuser, Grundstücke, etc.)?",Finanzentscheidungen
Sehr schlechter Zeitpunkt,Eher schlechter Zeitpunkt,Teils-teils,Eher guter Zeitpunkt,Sehr guter Zeitpunkt,Weiss nicht,NA,NA,NA,NA,NA,NA,NA,zeitp_ausg,6,Guter/schlechter Zeitpunkt: Geld ausgeben,1,5,0,7,V6,noka,4,no WN option,no KA option,"Glauben Sie, dass für Sie persönlich jetzt ein guter oder schlechter Zeitpunkt ist,	um Geld auszugeben?
",Finanzentscheidungen
Sehr schlechter Zeitpunkt,Eher schlechter Zeitpunkt,Teils-teils,Eher guter Zeitpunkt,Sehr guter Zeitpunkt,Weiss nicht,NA,NA,NA,NA,NA,NA,NA,zeitp_kred,6,Guter/schlechter Zeitpunkt: Kredit aufnehmen,1,5,0,7,V6,noka,4,no WN option,no KA option,"Glauben Sie, dass für Sie persönlich jetzt ein guter oder schlechter Zeitpunkt ist,	um einen Kredit aufzunehmen?
 ",Finanzentscheidungen
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,anst_rest,5,"Ansteckungsgefahr: Restaurants, CafÃ©s und Bars",1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie hoch schätzen Sie derzeit die Gefahr der Ansteckung mit dem Coronavirus an den folgenden Orten ein? Ist die Gefahr sehr groß, groß, mittelmäßig, klein oder sehr klein? Restaurants, Cafés und Bars.",Ansteckungsgefahr
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,anst_oeff,5,Ansteckungsgefahr: Oeffentliche Verkehrsmittel,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie hoch schätzen Sie derzeit die Gefahr der Ansteckung mit dem Coronavirus an den folgenden Orten ein? Ist die Gefahr sehr groß, groß, mittelmäßig, klein oder sehr klein? Öffentliche Verkehrsmittel.",Ansteckungsgefahr
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,anst_arbe,5,Ansteckungsgefahr: Ihrer Arbeitsstaette [wenn: erwerbstaetig],1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie hoch schätzen Sie derzeit die Gefahr der Ansteckung mit dem Coronavirus an den folgenden Orten ein? Ist die Gefahr sehr groß, groß, mittelmäßig, klein oder sehr klein? Ihrer Arbeitsstätte.",Ansteckungsgefahr
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,anst_schu,5,Ansteckungsgefahr: Schulen und Kindergaerten,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie hoch schätzen Sie derzeit die Gefahr der Ansteckung mit dem Coronavirus an den folgenden Orten ein? Ist die Gefahr sehr groß, groß, mittelmäßig, klein oder sehr klein? Schulen und Kindergärten.",Ansteckungsgefahr
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,anst_park,5,Ansteckungsgefahr: Oeffentliche Parks und Spielplaetze,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie hoch schätzen Sie derzeit die Gefahr der Ansteckung mit dem Coronavirus an den folgenden Orten ein? Ist die Gefahr sehr groß, groß, mittelmäßig, klein oder sehr klein? Öffentliche Parks und Spielplätze.",Ansteckungsgefahr
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,anst_arzt,5,Ansteckungsgefahr: Arzt,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie hoch schätzen Sie derzeit die Gefahr der Ansteckung mit dem Coronavirus an den folgenden Orten ein? Ist die Gefahr sehr groß, groß, mittelmäßig, klein oder sehr klein? Arzt.",Ansteckungsgefahr
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,anst_fami,5,Ansteckungsgefahr: Familienfeier,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie hoch schätzen Sie derzeit die Gefahr der Ansteckung mit dem Coronavirus an den folgenden Orten ein? Ist die Gefahr sehr groß, groß, mittelmäßig, klein oder sehr klein? Familienfeier.",Ansteckungsgefahr
sehr gross,gross,mittelmaessig,klein,sehr klein,keine Angabe,NA,NA,NA,NA,NA,NA,NA,anst_freu,5,Anstreckungsgefahr: Treffen von Freunden Zuhause,1,5,1,7,nown,V6,4,no WN option,no KA option,"Wie hoch schätzen Sie derzeit die Gefahr der Ansteckung mit dem Coronavirus an den folgenden Orten ein? Ist die Gefahr sehr groß, groß, mittelmäßig, klein oder sehr klein?  Treffen von Freunden Zuhause.",Ansteckungsgefahr
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,mastest_eff,10,Massentests: Effektive Massnahme gegen Corona,1,5,1,6,V6,V7,4,no WN option,no KA option,"Was denken Sie, inwiefern trifft die folgende Aussage in Zusammenhang mit den Coronavirus-Tests zu? Trifft sie voll und ganz zu, eher zu, teils-teils, eher nicht zu oder gar nicht zu? Die Tests sind eine effektive Maßnahme zur Eindämmung der Corona-Krise.",Einstellungen zum Testen und Impfen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,mastest_zuv,10,Massentests: Ergebnis ist zuverlaessig,1,5,1,6,V6,V7,4,no WN option,no KA option,"Was denken Sie, inwiefern trifft die folgende Aussage in Zusammenhang mit den Coronavirus-Tests zu? Trifft sie voll und ganz zu, eher zu, teils-teils, eher nicht zu oder gar nicht zu? Das Ergebnis der Tests ist zuverlässig.",Einstellungen zum Testen und Impfen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,mastest_tre,10,"Massentests: Negativer Test bedeutet, dass ich mehr Personen treffen kann",1,5,1,6,V6,V7,4,no WN option,no KA option,"Was denken Sie, inwiefern trifft die folgende Aussage in Zusammenhang mit den Coronavirus-Tests zu? Trifft sie voll und ganz zu, eher zu, teils-teils, eher nicht zu oder gar nicht zu? Ein negatives Testergebnis bedeutet, dass ich wieder mehrere Personen treffen kann.",Einstellungen zum Testen und Impfen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,mastest_str,10,Corona-Tests: Strengere Massnahmen fuer Personen ohne Test,1,5,1,6,V6,V7,4,no WN option,no KA option,"Was denken Sie, inwiefern trifft die folgende Aussage in Zusammenhang mit den Coronavirus-Tests zu? Trifft sie voll und ganz zu, eher zu, teils-teils, eher nicht zu oder gar nicht zu? Für Personen, die sich nicht testen lassen, sollten strengere Maßnahmen gelten.",Einstellungen zum Testen und Impfen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,mastest_mot,10,Corona-Test: Moeglich sich schnell testen zu lassen,1,5,1,6,V6,V7,4,no WN option,no KA option,"Was denken Sie, inwiefern trifft die folgende Aussage in Zusammenhang mit den Coronavirus-Tests zu? Trifft sie voll und ganz zu, eher zu, teils-teils, eher nicht zu oder gar nicht zu? Es ist für alle möglich, sich schnell testen zu lassen.",Einstellungen zum Testen und Impfen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,impf_pfl,10,Impfen: Impfpflicht fuer alle,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, ob die jeweilige Aussage Ihrer Meinung nach sehr zutrifft, eher zutrifft, teils-teils zutrifft, eher nicht zutrifft oder gar nicht zutrifft:	Es sollte eine Impfpflicht für alle geben.",Einstellungen zum Testen und Impfen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,impf_gra,10,Impfen: gratis Impfstoff,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, ob die jeweilige Aussage Ihrer Meinung nach sehr zutrifft, eher zutrifft, teils-teils zutrifft, eher nicht zutrifft oder gar nicht zutrifft:	Der Impfstoff sollte gratis zur Verfügung gestellt werden.",Einstellungen zum Testen und Impfen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,impf_pfb,10,Impfen: Impfpflicht fuer Berufsgruppen mit hohem Risiko,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, ob die jeweilige Aussage Ihrer Meinung nach sehr zutrifft, eher zutrifft, teils-teils zutrifft, eher nicht zutrifft oder gar nicht zutrifft:	Es sollte eine Impfpflicht für Berufsgruppen mit hohem Ansteckungsrisiko geben.",Einstellungen zum Testen und Impfen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,impf_kin,10,NA,NA,NA,NA,10,V6,V7,0,no WN option,no KA option,XXXXX???????,Einstellungen zum Testen und Impfen
Trifft voll und ganz zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft gar nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,impf_soz,10,Impfen: Meisten Personen in meinem Umfeld sind bereit sich impfen zu lassen,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, ob die jeweilige Aussage Ihrer Meinung nach sehr zutrifft, eher zutrifft, teils-teils zutrifft, eher nicht zutrifft oder gar nicht zutrifft:	Die meisten Personen in meinem näheren Umfeld sind bereit, sich impfen zu lassen.",Einstellungen zum Testen und Impfen
Trifft sehr zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft ueberhaupt nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,issue_ungl,9,Aussage: Politik muss soziale Ungleichheit bekaempfen,1,5,1,6,V6,V7,4,no WN option,no KA option,"Man kann zu verschiedenen politischen Themen unterschiedliche Meinungen haben. Treffen die folgenden Aussagen Ihrer Meinung nach sehr zu, eher zu, teils-teils zu, treffen sie eher nicht zu oder treffen sie überhaupt nicht zu? Die Politik muss die soziale Ungleichheit bekämpfen.",gesellschaftspolitische Einstellungen
Trifft sehr zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft ueberhaupt nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,issue_faul,9,Aussage: Sozialstaat macht Menschen traege und faul,1,5,1,6,V6,V7,4,no WN option,no KA option,"Man kann zu verschiedenen politischen Themen unterschiedliche Meinungen haben. Treffen die folgenden Aussagen Ihrer Meinung nach sehr zu, eher zu, teils-teils zu, treffen sie eher nicht zu oder treffen sie überhaupt nicht zu? Der Sozialstaat macht Menschen träge und faul.",gesellschaftspolitische Einstellungen
Trifft sehr zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft ueberhaupt nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,issue_albe,9,Aussage: Arbeitslosigkeit durch Staatsschulden bekaempfen,1,5,1,6,V6,V7,4,no WN option,no KA option,"Man kann zu verschiedenen politischen Themen unterschiedliche Meinungen haben. Treffen die folgenden Aussagen Ihrer Meinung nach sehr zu, eher zu, teils-teils zu, treffen sie eher nicht zu oder treffen sie überhaupt nicht zu? Die Arbeitslosigkeit muss bekämpft werden, auch wenn das hohe Staatsschulden bedeutet.",gesellschaftspolitische Einstellungen
Trifft sehr zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft ueberhaupt nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,issue_wirt,9,Aussage: wenig Eingriff in Wirtschaft durch Politik,1,5,1,6,V6,V7,4,no WN option,no KA option,"Man kann zu verschiedenen politischen Themen unterschiedliche Meinungen haben. Treffen die folgenden Aussagen Ihrer Meinung nach sehr zu, eher zu, teils-teils zu, treffen sie eher nicht zu oder treffen sie überhaupt nicht zu? Die Politik soll sich aus der Wirtschaft heraushalten.",gesellschaftspolitische Einstellungen
Trifft sehr zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft ueberhaupt nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,issue_frau,9,Aussage: Bevorzugung von Frauen bei gleicher Qualifikation,1,5,1,6,V6,V7,4,no WN option,no KA option,"Man kann zu verschiedenen politischen Themen unterschiedliche Meinungen haben. Treffen die folgenden Aussagen Ihrer Meinung nach sehr zu, eher zu, teils-teils zu, treffen sie eher nicht zu oder treffen sie überhaupt nicht zu? Frauen sollen bei Bewerbungen und Beförderungen bei gleicher Qualifikation bevorzugt werden.",gesellschaftspolitische Einstellungen
Trifft sehr zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft ueberhaupt nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,issue_poli,9,Aussage: Ausweitung der Befugnisse der Polizei,1,5,1,6,V6,V7,4,no WN option,no KA option,"Man kann zu verschiedenen politischen Themen unterschiedliche Meinungen haben. Treffen die folgenden Aussagen Ihrer Meinung nach sehr zu, eher zu, teils-teils zu, treffen sie eher nicht zu oder treffen sie überhaupt nicht zu? Die Befugnisse der Polizei müssen ausgeweitet werden, um für Recht und Ordnung zu sorgen.",gesellschaftspolitische Einstellungen
Trifft sehr zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft ueberhaupt nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,issue_zuwa,9,Aussage: Zuwanderung nach Oesterreich nur in Ausnahmefaellen,1,5,1,6,V6,V7,4,no WN option,no KA option,"Man kann zu verschiedenen politischen Themen unterschiedliche Meinungen haben. Treffen die folgenden Aussagen Ihrer Meinung nach sehr zu, eher zu, teils-teils zu, treffen sie eher nicht zu oder treffen sie überhaupt nicht zu? Zuwanderung nach Österreich sollte nur in absoluten Ausnahmefällen möglich sein.",gesellschaftspolitische Einstellungen
Trifft sehr zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft ueberhaupt nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,issue_umwe,9,Aussage: Umweltschutz um jeden Preis,1,5,1,6,V6,V7,4,no WN option,no KA option,"Man kann zu verschiedenen politischen Themen unterschiedliche Meinungen haben. Treffen die folgenden Aussagen Ihrer Meinung nach sehr zu, eher zu, teils-teils zu, treffen sie eher nicht zu oder treffen sie überhaupt nicht zu? Die Umwelt muss um jeden Preis geschützt werden, auch wenn das für den Einzelnen teuer wird.",gesellschaftspolitische Einstellungen
Trifft sehr zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft ueberhaupt nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,issue_eink,9,Aussage: Einkommensunterschiede in Oesterreich sind zu gross,1,5,1,6,V6,V7,4,no WN option,no KA option,"Man kann zu verschiedenen politischen Themen unterschiedliche Meinungen haben. Treffen die folgenden Aussagen Ihrer Meinung nach sehr zu, eher zu, teils-teils zu, treffen sie eher nicht zu oder treffen sie überhaupt nicht zu? Die Einkommensunterschiede in Österreich sind zu groß.",gesellschaftspolitische Einstellungen
Trifft sehr zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft ueberhaupt nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,issue_gena,9,Aussage: Generationenvertrag,1,5,1,6,V6,V7,4,no WN option,no KA option,"Man kann zu verschiedenen politischen Themen unterschiedliche Meinungen haben. Treffen die folgenden Aussagen Ihrer Meinung nach sehr zu, eher zu, teils-teils zu, treffen sie eher nicht zu oder treffen sie überhaupt nicht zu? Die Jungen von heute werden alles in allem ein besseres Leben haben als ihre Eltern.",gesellschaftspolitische Einstellungen
Trifft sehr zu,Trifft eher zu,Teils-teils,Trifft eher nicht zu,Trifft ueberhaupt nicht zu,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,issue_redu,9,Aussage: Reduktion von Einkommensunterschieden durch staatliche Massnahmen,1,5,1,6,V6,V7,4,no WN option,no KA option,"Man kann zu verschiedenen politischen Themen unterschiedliche Meinungen haben. Treffen die folgenden Aussagen Ihrer Meinung nach sehr zu, eher zu, teils-teils zu, treffen sie eher nicht zu oder treffen sie überhaupt nicht zu? Der Staat sollte Maßnahmen ergreifen, um Einkommensunterschiede zu reduzieren.",gesellschaftspolitische Einstellungen
Stimme stark zu,Stimme zu,Weder noch,Lehne ab,Lehne stark ab,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,welfshov_such,8,Aussage: Arbeitslose suchen nicht nach Arbeitsstelle,1,5,1,6,V6,V7,4,no WN option,no KA option,"Bitte geben Sie an, wie sehr Sie den folgenden Aussagen über Leute in Österreich zustimmen oder wie sehr Sie diese ablehnen: Die meisten Arbeitslosen suchen nicht wirklich nach einer Arbeitsstelle.",gesellschaftspolitische Einstellungen
Stimme stark zu,Stimme zu,Weder noch,Lehne ab,Lehne stark ab,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,welfshov_zust,8,Aussage: Leute mit geringem Einkommen erhalten weniger Sozialleistungen,1,5,1,6,V6,V7,4,no WN option,no KA option,"Viele Leute mit geringem Einkommen erhalten weniger Sozialleistungen, als ihnen gesetzlich zustehen.",gesellschaftspolitische Einstellungen
Stimme stark zu,Stimme zu,Weder noch,Lehne ab,Lehne stark ab,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,welfshov_sozl,8,"Aussage: Es gelingt Leuten, Sozialleistungen zu erhalten, ohne Anspruch",1,5,1,6,V6,V7,4,no WN option,no KA option,"Es gelingt vielen Leuten, Sozialleistungen zu erhalten, die keinen Anspruch darauf haben.",gesellschaftspolitische Einstellungen
Mehrmals taeglich,Einmal taeglich,Mehrmals in der Woche,Einmal in der Woche,Gar nicht/ nie,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,sozkont,3,Soziale Kontakte: Haeufigkeit ausgetauscht/Kontakt gehalten,1,5,1,6,V6,V7,4,no WN option,no KA option,"Wie häufig haben Sie sich mit Menschen, die Ihnen nahestehen, in der letzten Woche ausgetauscht (oder Kontakt gehalten)? Mehrmals täglich, einmal täglich, mehrmals in der Woche, einmal in der Woche oder gar nicht/ nie?
",eigenes Verhalten
Nahezu immer,Meistens,Manchmal,Selten,Nahezu nie,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,sozialn_verh_eig_abs,4,Eigenes Verhalten: Abstand halten,1,5,1,6,V6,V7,4,no WN option,no KA option,"Denken Sie im Folgenden an Ihr persönliches Verhalten in der letzten Woche. Bitte geben Sie an, wie oft Sie sich wie folgt verhalten haben. Haben Sie sich nahezu immer, meistens, manchmal, selten oder nahezu nie daran gehalten? Sie halten im öffentlichen Raum immer mindestens 1m Abstand von Menschen, die nicht mit Ihnen im Haushalt leben.",eigenes Verhalten
Nahezu immer,Meistens,Manchmal,Selten,Nahezu nie,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,sozialn_verh_eig_hau,4,Eigenes Verhalten: Zu Hause bleiben,1,5,1,6,V6,V7,4,no WN option,no KA option,"Denken Sie im Folgenden an Ihr persönliches Verhalten in der letzten Woche. Bitte geben Sie an, wie oft Sie sich wie folgt verhalten haben. Haben Sie sich nahezu immer, meistens, manchmal, selten oder nahezu nie daran gehalten? Sie bleiben zu Hause, außer für Notwendigkeiten.",eigenes Verhalten
Nahezu immer,Meistens,Manchmal,Selten,Nahezu nie,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,sozialn_verh_eig_sch,4,Eigenes Verhalten: Schutzmaske tragen,1,5,1,6,V6,V7,4,no WN option,no KA option,"Denken Sie im Folgenden an Ihr persönliches Verhalten in der letzten Woche. Bitte geben Sie an, wie oft Sie sich wie folgt verhalten haben. Haben Sie sich nahezu immer, meistens, manchmal, selten oder nahezu nie daran gehalten? Sie tragen immer Schutzmasken, wenn Sie sich im öffentlichen Raum bewegen.",eigenes Verhalten
Nahezu immer,Meistens,Manchmal,Selten,Nahezu nie,Weiss nicht,keine Angabe,NA,NA,NA,NA,NA,NA,sozialn_verh_eig_ver,4,Eigenes Verhalten: Verletzungen vermeiden,1,5,1,6,V6,V7,4,no WN option,no KA option,"Denken Sie im Folgenden an Ihr persönliches Verhalten in der letzten Woche. Bitte geben Sie an, wie oft Sie sich wie folgt verhalten haben. Haben Sie sich nahezu immer, meistens, manchmal, selten oder nahezu nie daran gehalten? Sie vermeiden Aktivitäten im Haushalt und in der Freizeit, die zu Verletzungen oder Krankheiten führen könnten, um das Gesundheitssystem nicht zu belasten.",eigenes Verhalten
