labels,variable,min,max
Aussage: Leute mit geringem Einkommen erhalten weniger Sozialleistungen,welfshov_zust,1,5
"Aussage: Es gelingt Leuten, Sozialleistungen zu erhalten, ohne Anspruch",welfshov_sozl,1,5
Verantwortung Regierung: angemessenen Lebensstandard fuer Pensionisten,verant_pens,0,10
Verantwortung Regierung: angemessenen Lebensstandard fuer Arbeitslose,verant_arbl,0,10
Verantwortung Regierung: ausreichend Kinderbetreuungsdienste fuer Berufstaetige,verant_kind,0,10
Verantwortung Regierung: universitaere Ausbildung in guter Qualitaet,verant_univ,0,10
Verantwortung Regierung: hochqualitative gesundheitl. Versorgung,verant_gesu,0,10
Zufriedenheit: Arbeitsbedingungen,zuf_arb,1,4
Jobattribut-Praeferenz: Ein sicherer Arbeitsplatz,joa_swc,1,4
Jobattribut-Praeferenz: Ein hohes Einkommen,joa_hin,1,4
"Jobattribut-Praeferenz: Ein Job, bei dem man anderen Menschen helfen kann",joa_hel,1,4
"Jobattribut-Praeferenz: Ein Job, der es einem erlaubt, eigenstaendig zu arbeiten",joa_ind,1,4
"Jobattribut-Praeferenz: Ein Job, der es einem erlaubt, neue Dinge zu lernen",joa_lea,1,4
"Jobattribut-Praeferenz: Ein Job, der einem viel Freizeit laesst",joa_lei,1,4
"Jobattribut-Praeferenz: Ein Job, der es einem erlaubt, kreativ zu sein",joa_cre,1,4
Jobattribut-Praeferenz: Viel Kontakt mit anderen Menschen,joa_con,1,4
"Jobattribut-Praeferenz: Ein Job, der einem ein gutes Selbstwertgefuehl gibt",joa_int,1,4
Jobattribut-Praeferenz: Arbeit und andere Verpflichtungen unter einem Hut,joa_oth,1,4
Lotto-Frage,lottoq,1,2
Aussage: Arbeit ist eine Pflicht gegenueber der Gesellschaft.,wo_dty,1,4
Aussage: Arbeit immer vor Freizeit,wo_lei,1,4
"Aussage: Mann soll Geld verdienen, Frau sich um Haushalt kuemmern",wo_mal,1,4
Staatliche Massnahmen: nur nachhaltige Unternehmen vs. alle gleichermassen,staatmas_unte,1,5
Staatliche Massnahmen: nur Aermeren vs. fuer alle,staatmas_haus,1,5
Staatliche Massnahmen: Geld ausbezahlen vs. Gutscheine/Praemien,staatmas_form,1,5
Staatliche Massnahmen: nachhaltige Produkte foerdern vs. alle gleichermassen,staatmas_prod,1,5
Staatliche Massnahmen: Unternehmen ausbezahlen vs. direkt Buerger ausbezahlen,staatmas_empf,1,5
"Pflegebeduerftige Angehoerige: Ja, in 24h Pflege",pflege_bet_24h,0,1
Pflegebeduerftige Angehoerige: teilweise Pflege,pflege_bet_tei,0,1
Pflegebeduerftige Angehoerige: Pflege durch mich selbst,pflege_bet_sel,0,1
Pflegebeduerftige Angehoerige: Pflege durch Partner/in,pflege_bet_par,0,1
Pflegebeduerftige Angehoerige: Nein,pflege_bet_nei,0,1
Pflegebeduerftige Angehoerige: weiss nicht,pflege_bet_wni,0,0
Pflegebeduerftige Angehoerige: keine Angabe,pflege_bet_kan,0,0
Pflege stellt Problem dar,pflege_sit_prob,1,5
Pflege: Neue Pflegekraft finden (selbst oder Haushaltsperson),pflege_sit_nkra,0,1
Pflege: Neue Pflegekraft finden (Agentur/Hilfsorganisation),pflege_sit_nage,0,1
Pflege: Musste selbst pflegen,pflege_sit_eige,0,1
Pflege: Sonstige Aenderung,pflege_sit_sons,0,1
Pflege: Es hat sich nichts geaendert,pflege_sit_nich,0,1
Pflege: Keine Angabe,pflege_sit_kang,0,0
Erwartung Pflege aufrechterhalten zu koennen,pflege_aufre,1,5
Pflege durch Angehoerige,pflege_angeh,1,4
Politikinteresse,pol_inter,1,4
Vertrauen: ORF,ver_orf,0,10
Vertrauen: Polizei,ver_pol,0,10
Vertrauen: Parlament,ver_par,0,10
Vertrauen: Gesundheitswesen,ver_ges,0,10
Vertrauen: Bundesregierung,ver_gov,0,10
Vertrauen: Bundesheer,ver_mil,0,10
Vertrauen: Sozialpartnerschaft,ver_soz,0,10
Vertrauen: AMS,ver_ams,0,10
Vertrauen: EU,ver_eur,0,10
Vertrauen: WHO,ver_who,0,10
Vertrauen: Justiz,ver_jus,0,10
Vertrauen: Wissenschaft und Forschung,ver_sci,0,10
Vertrauen: Landesregierung,ver_lan,0,10
Vertrauen: Pharmaunternehmen,ver_pha,0,10
Mediennutzung: Kronen Zeitung oder www.krone.at,med_kro,1,5
Mediennutzung: Der Standard oder derstandard.at,med_sta,1,5
Mediennutzung: Die Presse oder diepresse.com,med_pre,1,5
Mediennutzung: Oesterreich oder oe24.at,med_oes,1,5
Mediennutzung: Kurier oder kurier.at,med_kur,1,5
Mediennutzung: Salzburger Nachrichten oder salzburg.at,med_sbg,1,5
Mediennutzung: Sonstige oesterreichische Tageszeitungen,med_son,1,5
Mediennutzung: orf.at,med_oat,1,5
Mediennutzung: ORF (Nachrichten),new_orf,1,5
Mediennutzung: Privatfernsehen (Nachrichten),new_pri,1,5
Verbundenheit: Wohnort,verbunden_gem,1,4
Verbundenheit: Bundesland,verbunden_bdl,1,4
Verbundenheit: Oesterreich,verbunden_aut,1,4
Verbundenheit: Europa,verbunden_eur,1,4
Gerechtigkeitsprinzipien: gleichmaessige Verteilung von Einkommen und Vermoegen,gerechtp_gle,1,5
Gerechtigkeitsprinzipien: Belohnung nach Leistung,gerechtp_lei,1,5
Gerechtigkeitsprinzipien: Unterstuetzung fuer Beduerftige,gerechtp_bed,1,5
Gerechtigkeitsprinzipien: Privilegien durch Status,gerechtp_sta,1,5
Gerechtigkeitsprinzipien: Glueck bei wirtschaftlichem Erfolg,gerechtp_zuf,1,5
Wahlabsicht (Sonntagsfrage),sonntagsfrage,1,10
Wahrscheinlichkeit: Wieder Arbeit zu finden,risk_fwrk,NA,NA
Wahrscheinlichkeit: Job zu verlieren,risk_lwrk,NA,NA
Wahrscheinlichkeit: gewohnte Arbeit wieder aufnehmen,risk_buwk,NA,NA
Soziale Kontakte: Haeufigkeit ausgetauscht/Kontakt gehalten,sozkont,1,5
Gerechter Anteil,geranteil,1,4
Oben-unten: Selbsteinstufung,sss_akt,1,10
Oben-unten: Selbsteinstufung (zukuenftige Situation),sss_5yr,1,10
Grundeinkommen,greinkom,1,4
Wahrnehmung Verdienst: ein praktischer Arzt: <...> Euro,eik_perc_doc,NA,NA
"Wahrnehmung Verdienst: Vorstandsvorsitzender, grosses Unternehmes: <...> Euro",eik_perc_ceo,NA,NA
Wahrnehmung Verdienst: ein Verkaeufer in einem Kaufhaus: <...> Euro,eik_perc_ang,NA,NA
Wahrnehmung Verdienst: ein ungelernter Fabrikarbeiter: <...> Euro,eik_perc_arb,NA,NA
Wahrnehmung Verdienst: ein Minister in der Bundesregierung: <...> Euro,eik_perc_reg,NA,NA
Staatshilfe nach Leistungsprinzip,ger_sth_equi,1,5
Staatshilfe nach Bedarf,ger_sth_need,1,5
Staatshilfe gleich verteilt,ger_sth_equa,1,5
Staatshilfe bei Verlust gesellschaftlicher Stellung,ger_sth_stat,1,5
Aktuelles persoenliches Einkommen,inc_pers,1,20
Risikobereitschaft,risikob,0,10
Psychologie: habe Leben selbst in der Hand,psy_leb,1,4
Psychologie: Belohnung durch Anstrengung,psy_bel,1,4
Psychologie: Fremdbestimmung,psy_fbe,1,4
Psychologie: Schicksal,psy_sci,1,4
Zufriedenheit: Familienleben,zuf_fam,0,4
Zufriedenheit: Partnerschaft,zuf_par,0,4
Zufriedenheit: Beruf,zuf_ber,0,4
Zufriedenheit: Freizeit,zuf_frz,0,4
